197425,"Ralf SEEKATZ",10,46,0
197508,"Stéphane SÉJOURNÉ",7,53,5
197418,"Monica SEMEDO",13,182,5
197423,"Nico SEMSROTT",10,0,4
197677,"Günther SIDL",22,122,2
197548,"Radosław SIKORSKI",0,28,0
124747,"Pedro SILVA PEREIRA",6,8,2
103746,"Michal ŠIMEČKA",21,125,5
197426,"Sven SIMON",10,46,0
197935,"Ivan Vilibor SINČIĆ",25,183,7
96932,"Birgit SIPPEL",10,37,2
197390,"Sara SKYTTEDAL",8,145,0
197849,"Andrey SLABAKOV",1,96,3
197791,"Massimiliano SMERIGLIO",2,38,2
204334,"Vincenzo SOFO",2,50,3
124710,"Michaela ŠOJDROVÁ",23,184,0
197417,"Tomislav SOKOL",25,107,0
185974,"Jordi SOLÉ",4,175,4
197784,"Susana SOLÍS PÉREZ",4,40,5
124834,"Martin SONNEBORN",10,185,7
197550,"Sylwia SPUREK",0,0,4
125064,"Maria SPYRAKI",12,30,0
197825,"Raffaele STANCANELLI",2,50,3
124852,"Sergei STANISHEV",1,128,2
239271,"Eleni STAVROU",26,100,0
124929,"Ivan ŠTEFANEC",21,146,0
58766,"Nicolae ŞTEFĂNUȚĂ",19,66,4
197772,"Tineke STRIK",20,97,4
134605,"Ramona STRUGARIU",19,81,5
197553,"Beata SZYDŁO",0,72,3
125020,"Paul TANG",20,76,2
29579,"Marc TARABELLA",14,25,7
204346,"Dominik TARCZYŃSKI",0,72,3
197806,"Annalisa TARDINO",2,3,1
197756,"Vera TAX",20,76,2
197655,"Cristian TERHEŞ",19,186,3
204449,"Riho TERRAS",15,187,0
197831,"Hermann TERTSCH",4,5,3
197667,"Barbara THALER",22,51,0
96776,"Róża THUN UND HOHENSTEIN",0,188,5
197591,"Irene TINAGLI",2,38,2
197402,"Tomas TOBÉ",8,141,0
197559,"Grzegorz TOBISZOWSKI",0,72,3
28340,"Patrizia TOIA",2,38,2
197547,"Irène TOLLERET",7,74,5
197672,"Eugen TOMAC",19,39,0
96697,"Waldemar TOMASZEWSKI",18,189,3
125104,"Romana TOMC",24,190,0
124700,"Yana TOOM",15,191,5
114268,"Nils TORVALDS",5,192,5
96713,"Evžen TOŠENOVSKÝ",23,193,3
27714,"Edina TÓTH",16,61,7
97236,"Marie TOUSSAINT",7,56,4
197580,"Isabella TOVAGLIERI",2,3,1
197593,"Véronique TRILLET-LENOIR",7,74,5
197894,"László TRÓCSÁNYI",16,61,7
197665,"Dragoş TUDORACHE",19,81,5
198183,"Mihai TUDOSE",19,34,2
197763,"Milan UHRÍK",21,194,7
